METHOD,PATH,FILE
ANY,/api/auth/api/auth,D:\project\AI\ImageIdentification\SmartImage_backend\smartimage-auth-service\src\main\java\com\yunchuan\smartimage_backend\controller\AuthController.java
ANY,/api/files/api/files,D:\project\AI\ImageIdentification\SmartImage_backend\smartimage-study-service\src\main\java\com\yunchuan\smartimage_backend\controller\FileController.java
ANY,/api/patients/api/patients,D:\project\AI\ImageIdentification\SmartImage_backend\smartimage-study-service\src\main\java\com\yunchuan\smartimage_backend\controller\StudyController.java
ANY,/api/studies/api/studies,D:\project\AI\ImageIdentification\SmartImage_backend\smartimage-study-service\src\main\java\com\yunchuan\smartimage_backend\controller\ModelController.java
DELETE,/api/patients/{id},D:\project\AI\ImageIdentification\SmartImage_backend\smartimage-patient-service\src\main\java\com\yunchuan\smartimage_backend\controller\PatientController.java
GET,/api/files/{fileId},D:\project\AI\ImageIdentification\SmartImage_backend\smartimage-study-service\src\main\java\com\yunchuan\smartimage_backend\controller\FileController.java
GET,/api/patients/{id},D:\project\AI\ImageIdentification\SmartImage_backend\smartimage-patient-service\src\main\java\com\yunchuan\smartimage_backend\controller\PatientController.java
GET,/api/patients/{patientId}/contours,D:\project\AI\ImageIdentification\SmartImage_backend\smartimage-patient-service\src\main\java\com\yunchuan\smartimage_backend\controller\ContourController.java
GET,/api/patients/{patientId}/contours/{contourId}/download,D:\project\AI\ImageIdentification\SmartImage_backend\smartimage-patient-service\src\main\java\com\yunchuan\smartimage_backend\controller\ContourController.java
GET,/api/patients/{patientId}/studies,D:\project\AI\ImageIdentification\SmartImage_backend\smartimage-study-service\src\main\java\com\yunchuan\smartimage_backend\controller\StudyController.java
GET,/api/studies/{studyId}/model,D:\project\AI\ImageIdentification\SmartImage_backend\smartimage-study-service\src\main\java\com\yunchuan\smartimage_backend\controller\ModelController.java
POST,/api/auth/login,D:\project\AI\ImageIdentification\SmartImage_backend\smartimage-auth-service\src\main\java\com\yunchuan\smartimage_backend\controller\AuthController.java
POST,/api/auth/register,D:\project\AI\ImageIdentification\SmartImage_backend\smartimage-auth-service\src\main\java\com\yunchuan\smartimage_backend\controller\AuthController.java
POST,/api/patients/{id}/review,D:\project\AI\ImageIdentification\SmartImage_backend\smartimage-patient-service\src\main\java\com\yunchuan\smartimage_backend\controller\PatientController.java
POST,/api/patients/{patientId}/studies,D:\project\AI\ImageIdentification\SmartImage_backend\smartimage-study-service\src\main\java\com\yunchuan\smartimage_backend\controller\StudyController.java
POST,/api/patients/{patientId}/studies/{studyId}/upload,D:\project\AI\ImageIdentification\SmartImage_backend\smartimage-study-service\src\main\java\com\yunchuan\smartimage_backend\controller\StudyController.java
PUT,/api/patients/{id},D:\project\AI\ImageIdentification\SmartImage_backend\smartimage-patient-service\src\main\java\com\yunchuan\smartimage_backend\controller\PatientController.java
PUT,/api/patients/{patientId}/contours/{contourId},D:\project\AI\ImageIdentification\SmartImage_backend\smartimage-patient-service\src\main\java\com\yunchuan\smartimage_backend\controller\ContourController.java
PUT,/api/patients/{patientId}/studies/{studyId},D:\project\AI\ImageIdentification\SmartImage_backend\smartimage-study-service\src\main\java\com\yunchuan\smartimage_backend\controller\StudyController.java
